,designer,collections,first_season,consistency,prevalence,class
37,junya-watanabe,45,2000.0,0.9375,0.9152777777777777,5
38,john-galliano,45,1993.0,0.7258064516129032,0.703584229390681,3
39,calvin-klein-collection,45,1994.0,0.75,0.7277777777777777,3
40,vera-wang,44,2000.0,0.9166666666666666,0.8939393939393939,4
41,max-mara,44,2000.0,0.9166666666666666,0.8939393939393939,4
42,badgley-mischka,44,2000.0,0.9166666666666666,0.8939393939393939,4
43,stella-mccartney,44,2002.0,1.0,0.9772727272727273,6
44,rick-owens,43,2002.1,1.0,0.9767441860465116,6
45,roberto-cavalli,43,2001.1,0.9555555555555556,0.9322997416020672,5
46,celine,43,2000.0,0.8958333333333334,0.872577519379845,4
47,narciso-rodriguez,42,2000.0,0.875,0.8511904761904762,4
48,diane-von-furstenberg,42,2000.1,0.8936170212765957,0.8698074974670719,4
49,chalayan,42,1995.1,0.7368421052631579,0.713032581453634,3
50,bottega-veneta,42,2000.0,0.875,0.8511904761904762,4
51,preen-by-thornton-bregazzi,41,2000.1,0.8723404255319149,0.8479501816294759,4
52,proenza-schouler,41,2003.1,1.0,0.975609756097561,6
53,dsquared,40,2004.0,1.0,0.975,6
54,roland-mouret,39,2000.1,0.8297872340425532,0.8041462084015275,4
55,nina-ricci,39,2004.0,0.975,0.9493589743589743,5
56,temperley-london,39,2004.0,0.975,0.9493589743589743,5
57,zero-maria-cornejo,39,2003.1,0.9512195121951219,0.9255784865540962,5
58,akris,39,2004.1,1.0,0.9743589743589743,6
59,undercover,38,2003.1,0.926829268292683,0.9005134788189988,4
60,sonia-rykiel,38,2000.0,0.7916666666666666,0.7653508771929824,4
61,etro,38,2005.0,1.0,0.9736842105263158,6
62,philosophy,37,2000.0,0.7708333333333334,0.7438063063063063,3
63,martin-grant,37,2003.1,0.9024390243902439,0.8754119973632168,4
64,giambattista-valli,37,2005.1,1.0,0.972972972972973,6
65,andrew-gn,37,2004.0,0.925,0.8979729729729731,4
66,monique-lhuillier,37,2004.1,0.9487179487179487,0.9216909216909217,5
67,andreas-kronthaler-for-vivienne-westwood,36,2006.0,1.0,0.9722222222222222,6
68,nicole-miller,36,2000.0,0.75,0.7222222222222222,3
69,paul-smith,36,2003.0,0.8571428571428571,0.8293650793650793,4
70,jill-stuart,36,2000.0,0.75,0.7222222222222222,3
71,salvatore-ferragamo,36,2006.0,1.0,0.9722222222222222,6
72,balmain,36,2000.0,0.75,0.7222222222222222,3
73,lela-rose,36,2005.0,0.9473684210526315,0.9195906432748537,5
74,elie-saab,36,2006.0,1.0,0.9722222222222222,6
75,zac-posen,36,2002.1,0.8372093023255814,0.8094315245478036,4
76,rodarte,36,2006.0,1.0,0.9722222222222222,6
77,roksanda,36,2006.0,1.0,0.9722222222222222,6
78,jean-paul-gaultier,36,1994.0,0.6,0.5722222222222222,3
79,vivienne-westwood,36,1993.1,0.5901639344262295,0.5623861566484517,3
80,tory-burch,35,2006.1,1.0,0.9714285714285714,6
81,loewe,35,2000.0,0.7291666666666666,0.700595238095238,3
82,yigal-azrouel,35,2006.1,1.0,0.9714285714285714,6
83,erdem,35,2006.1,1.0,0.9714285714285714,6
84,helmut-lang,34,1994.1,0.576271186440678,0.5468594217347956,3
85,tommy-hilfiger,34,2000.0,0.7083333333333334,0.678921568627451,3
86,rochas,34,2003.1,0.8292682926829268,0.7998565279770444,4
87,3-1-phillip-lim,34,2006.1,0.9714285714285714,0.9420168067226891,5
88,j-mendel,34,2004.1,0.8717948717948718,0.8423831070889894,4
89,costume-national,34,2000.0,0.7083333333333334,0.678921568627451,3
90,luisa-beccaria,34,2007.0,1.0,0.9705882352941176,6
91,blumarine,34,2000.0,0.7083333333333334,0.678921568627451,3
92,jason-wu,34,2007.0,1.0,0.9705882352941176,6
93,bcbg-max-azria,34,2000.0,0.7083333333333334,0.678921568627451,3
94,rag-bone,33,2007.0,0.9705882352941176,0.9402852049910874,5
95,naeem-khan,33,2007.1,1.0,0.9696969696969697,6
96,christopher-kane,33,2007.0,0.9705882352941176,0.9402852049910874,5
97,kenzo,33,2000.1,0.7021276595744681,0.6718246292714378,3
98,rachel-comey,33,2004.0,0.825,0.7946969696969697,4
99,antonio-berardi,33,2000.0,0.6875,0.6571969696969697,3
100,adam-lippes,33,2006.1,0.9428571428571428,0.9125541125541126,4
101,cynthia-rowley,33,2000.0,0.6875,0.6571969696969697,3
102,dkny,33,2000.0,0.6875,0.6571969696969697,3
103,donna-karan,32,2000.0,0.6666666666666666,0.6354166666666666,3
104,derek-lam,32,2004.0,0.8,0.76875,4
105,a-f-vandevorst,31,2002.1,0.7209302325581395,0.6886721680420105,3
